score<Publication year>	score<Citations>
2020.0	0.0
2024.0	0.0
2024.0	0.0
2015.0	4.0
2018.0	0.0
2024.0	0.0
2022.0	103.0
2025.0	0.0
2020.0	355.0
2020.0	17.0
2021.0	7.0
2020.0	27.0
2025.0	0.0
2024.0	3.0
2023.0	0.0
2022.0	6.0
2020.0	30.0
2023.0	1.0
2023.0	19.0
2025.0	1.0
2025.0	0.0
2023.0	2.0
2025.0	0.0
2022.0	5.0
2020.0	4.0
2024.0	4.0
2026.0	0.0
2022.0	10.0
2017.0	0.0
2022.0	0.0
2022.0	1.0
2024.0	3.0
2015.0	4.0
2018.0	23.0
2019.0	1.0
2017.0	2.0
2017.0	4.0
2015.0	0.0
2016.0	3.0
2020.0	2.0
2017.0	0.0
2025.0	0.0
2026.0	0.0
2022.0	2.0
2024.0	3.0
2021.0	0.0
2025.0	0.0
2024.0	0.0
2024.0	0.0
2023.0	1.0
2025.0	0.0
2025.0	0.0
2025.0	0.0
2015.0	0.0
2022.0	2.0
2021.0	2.0
2024.0	0.0
2017.0	4.0
2025.0	0.0
2023.0	7.0
2026.0	0.0
2022.0	10.0
2019.0	11.0
2017.0	4.0
2015.0	3.0
2025.0	2.0
2019.0	11.0
2024.0	0.0
2021.0	1.0
2021.0	13.0
2025.0	0.0
2025.0	0.0
2025.0	0.0
2017.0	3.0
2025.0	0.0
2024.0	1.0
2020.0	10.0
2023.0	68.0
2017.0	36.0
2015.0	0.0
2025.0	0.0
2021.0	10.0
2025.0	0.0
2023.0	86.0
2022.0	1.0
2015.0	96.0
2025.0	0.0
2024.0	0.0
2023.0	3.0
2025.0	0.0
2025.0	1.0
2021.0	51.0
2015.0	3.0
2025.0	10.0
2016.0	82.0
2024.0	0.0
2015.0	86.0
2025.0	0.0
2021.0	64.0
2025.0	1.0
2025.0	0.0
2020.0	35.0
2026.0	0.0
2022.0	8.0
2024.0	12.0
2023.0	1.0
2026.0	0.0
2026.0	0.0
2025.0	0.0
2021.0	6.0
2026.0	0.0
2025.0	0.0
2017.0	2.0
2025.0	0.0
2025.0	0.0
2024.0	0.0
2020.0	28.0
2026.0	0.0
2017.0	1.0
2020.0	3.0
2021.0	19.0
2022.0	0.0
2024.0	3.0
2025.0	0.0
2018.0	44.0
2018.0	0.0
2024.0	1.0
