id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Publication year>	score<Citations>
1	accuracy	-0.4611	0.17	1	64	273	55	2023.0364	7.2182
2	algorithmic trading	-0.6913	0.112	1	35	74	21	2023.381	4.8571
3	blockchain	1.101	0.0529	3	49	209	54	2023.1481	12.4259
4	blockchain technology	1.0215	0.0209	3	47	124	29	2023.5172	9.7241
5	concern	0.9988	0.0055	3	29	61	17	2021.7059	26.8235
6	correlation	-0.6423	-0.2971	1	38	73	16	2022.8125	11.0625
7	data analysis	-0.7392	0.0244	1	38	93	21	2022.2381	3.7143
8	dataset	-0.4645	-0.0133	1	59	198	41	2022.5122	14.1951
9	deep learning	-0.8673	0.357	1	36	82	15	2023.6667	8.9333
10	deep learning model	-0.7961	0.2322	1	35	64	9	2023.5556	13.7778
11	design methodology approach	0.2244	-0.3807	2	36	81	14	2020.5	19.1429
12	difficulty	0.1013	-0.0255	2	23	30	10	2020.7	6.6
13	dynamic	-0.1965	-0.1077	1	49	117	26	2022.5769	5.6154
14	e commerce platform	0.4727	-0.1832	2	25	37	13	2023.0769	5
15	e-commerce	0.4319	-0.1556	2	39	79	24	2020.7083	12
16	ease	0.3759	-0.0713	2	33	48	14	2023.9286	1.6429
17	energy	1.0097	0.2598	3	38	109	33	2022.0909	19.7273
18	energy trading	1.1718	0.2642	3	30	84	17	2022.2353	37.1176
19	error	-0.6112	0.2389	1	43	114	21	2022.9048	6.0952
20	evidence	-0.7901	-0.3474	1	33	74	21	2020.5714	24.5238
21	financial data	-0.8138	0.0436	1	41	109	19	2023.2105	7.9474
22	financial market	-0.4742	-0.0624	1	60	216	49	2022.9184	4.9796
23	forecasting	-0.9342	0.2091	1	49	214	33	2023.2121	4.0606
24	good	0.6478	-0.112	2	37	61	16	2020.875	13.125
25	historical data	-0.7026	0.2833	1	40	80	16	2021.6875	10.5
26	implication	0.2539	-0.2781	2	42	86	25	2020.72	13.2
27	infrastructure	0.6293	0.1047	3	47	98	26	2022.0769	12.1538
28	intention	0.6208	-0.1886	2	22	36	11	2023.0909	17.2727
29	internet	0.7628	0.147	3	46	105	29	2020.7586	6.1724
30	iot	0.9893	0.3097	3	18	36	8	2023.125	9.875
31	large language model	-0.3365	-0.3175	2	31	50	10	2025	0.4
32	llm	-0.2789	-0.3524	2	23	38	9	2025	0.4444
33	long short term memory	-1.223	0.3311	1	29	108	13	2024.1538	1.2308
