id	label	description	x	y	cluster	weight<Occurrences>	score<Avg publication year>	score<Avg citations>
1	blockchain	<table><tr><td>Author keyword:</td><td>blockchain</td></tr><tr><td>Records:</td><td>37</td></tr><tr><td>Example PaperIDs:</td><td>P007, P008, P019, P020, P022, P026, P079, P087</td></tr></table>	1.0	0.0	1	37	2023.189	16.649
2	machine learning	<table><tr><td>Author keyword:</td><td>machine learning</td></tr><tr><td>Records:</td><td>32</td></tr><tr><td>Example PaperIDs:</td><td>P012, P025, P030, P043, P048, P081, P106, P124</td></tr></table>	0.9972	0.0747	1	32	2022.844	17.156
3	deep learning	<table><tr><td>Author keyword:</td><td>deep learning</td></tr><tr><td>Records:</td><td>14</td></tr><tr><td>Example PaperIDs:</td><td>P041, P086, P118, P133, P147, P153, P160, P162</td></tr></table>	0.9888	0.149	1	14	2022.929	9.429
4	e-commerce	<table><tr><td>Author keyword:</td><td>e-commerce</td></tr><tr><td>Records:</td><td>12</td></tr><tr><td>Example PaperIDs:</td><td>P054, P068, P189, P270, P290, P305, P369, P392</td></tr></table>	0.9749	0.2225	1	12	2022.5	14.333
5	data visualization	<table><tr><td>Author keyword:</td><td>data visualization</td></tr><tr><td>Records:</td><td>11</td></tr><tr><td>Example PaperIDs:</td><td>P052, P128, P152, P211, P216, P229, P263, P363</td></tr></table>	0.9556	0.2948	1	11	2023.091	5.455
6	metaverse	<table><tr><td>Author keyword:</td><td>metaverse</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P019, P087, P092, P097, P127, P231, P232, P233</td></tr></table>	0.9309	0.3653	1	9	2023.444	16.889
7	stock market	<table><tr><td>Author keyword:</td><td>stock market</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P121, P148, P294, P297, P367, P374, P426, P427</td></tr></table>	0.901	0.4339	1	9	2023.111	4.667
8	fintech	<table><tr><td>Author keyword:</td><td>fintech</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P030, P219, P228, P232, P248, P297, P359, P449</td></tr></table>	0.866	0.5	1	8	2022.125	8.625
9	lstm	<table><tr><td>Author keyword:</td><td>lstm</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P044, P045, P070, P288, P293, P297, P427, P429</td></tr></table>	0.8262	0.5633	1	8	2022.75	4.125
10	security	<table><tr><td>Author keyword:</td><td>security</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P007, P024, P036, P109, P214, P282, P314, P486</td></tr></table>	0.7818	0.6235	1	8	2020.75	18.0
11	sentiment analysis	<table><tr><td>Author keyword:</td><td>sentiment analysis</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P074, P118, P215, P264, P430, P433, P441, P498</td></tr></table>	0.7331	0.6802	1	8	2021.625	2.0
12	artificial intelligence	<table><tr><td>Author keyword:</td><td>artificial intelligence</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P025, P081, P086, P293, P347, P409, P442</td></tr></table>	0.6802	0.7331	1	7	2022.143	15.0
13	big data	<table><tr><td>Author keyword:</td><td>big data</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P230, P373, P385, P441, P451, P465, P505</td></tr></table>	0.6235	0.7818	1	7	2020.286	3.714
14	data mining	<table><tr><td>Author keyword:</td><td>data mining</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P035, P173, P216, P230, P250, P318, P396</td></tr></table>	0.5633	0.8262	1	7	2021.0	0.714
15	human-computer interaction	<table><tr><td>Author keyword:</td><td>human-computer interaction</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P015, P096, P262, P298, P453, P480, P496</td></tr></table>	0.5	0.866	1	7	2022.429	1.286
16	internet of things	<table><tr><td>Author keyword:</td><td>internet of things</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P022, P028, P175, P192, P214, P393, P479</td></tr></table>	0.4339	0.901	1	7	2021.286	7.286
17	nft	<table><tr><td>Author keyword:</td><td>nft</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P008, P087, P097, P108, P231, P232, P233</td></tr></table>	0.3653	0.9309	1	7	2023.714	19.0
18	stock market prediction	<table><tr><td>Author keyword:</td><td>stock market prediction</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P264, P342, P365, P384, P433, P440, P491</td></tr></table>	0.2948	0.9556	1	7	2023.429	5.143
19	trading	<table><tr><td>Author keyword:</td><td>trading</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P161, P213, P296, P419, P441, P485, P510</td></tr></table>	0.2225	0.9749	1	7	2022.429	3.143
20	visualization	<table><tr><td>Author keyword:</td><td>visualization</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P070, P073, P155, P162, P307, P430, P441</td></tr></table>	0.149	0.9888	1	7	2021.714	16.0
21	investment	<table><tr><td>Author keyword:</td><td>investment</td></tr><tr><td>Records:</td><td>6</td></tr><tr><td>Example PaperIDs:</td><td>P050, P163, P274, P297, P441, P485</td></tr></table>	0.0747	0.9972	1	6	2022.333	4.167
22	smart contracts	<table><tr><td>Author keyword:</td><td>smart contracts</td></tr><tr><td>Records:</td><td>6</td></tr><tr><td>Example PaperIDs:</td><td>P008, P101, P141, P238, P356, P391</td></tr></table>	0.0	1.0	1	6	2023.167	7.0
23	usability	<table><tr><td>Author keyword:</td><td>usability</td></tr><tr><td>Records:</td><td>6</td></tr><tr><td>Example PaperIDs:</td><td>P024, P270, P314, P486, P496, P497</td></tr></table>	-0.0747	0.9972	1	6	2021.333	8.833
24	user experience	<table><tr><td>Author keyword:</td><td>user experience</td></tr><tr><td>Records:</td><td>6</td></tr><tr><td>Example PaperIDs:</td><td>P020, P097, P132, P140, P215, P397</td></tr></table>	-0.149	0.9888	1	6	2023.333	4.167
25	visual analytics	<table><tr><td>Author keyword:</td><td>visual analytics</td></tr><tr><td>Records:</td><td>6</td></tr><tr><td>Example PaperIDs:</td><td>P025, P126, P155, P300, P474, P511</td></tr></table>	-0.2225	0.9749	1	6	2020.667	4.333
26	agent-based modeling	<table><tr><td>Author keyword:</td><td>agent-based modeling</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P067, P152, P322, P405, P407</td></tr></table>	-0.2948	0.9556	1	5	2018.2	4.0
27	cryptocurrency	<table><tr><td>Author keyword:</td><td>cryptocurrency</td></tr><tr><td>Records:</td><td>5</td></tr><tr><td>Example PaperIDs:</td><td>P052, P144, P161, P163, P401</td></tr></table>	-0.3653	0.9309	1	5	2023.6	8.4
