id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg publication year>	score<Avg citations>
1	blockchain	"<table><tr><td>Author keyword:</td><td>blockchain</td></tr><tr><td>Records:</td><td>37</td></tr><tr><td>Example PaperIDs:</td><td>P007, P008, P019, P020, P022, P026, P079, P087</td></tr></table>"	-0.5545	0.3451	1	14	42	37	2023.189	16.649
2	machine learning	"<table><tr><td>Author keyword:</td><td>machine learning</td></tr><tr><td>Records:</td><td>32</td></tr><tr><td>Example PaperIDs:</td><td>P012, P025, P030, P043, P048, P081, P106, P124</td></tr></table>"	-0.5757	-0.2114	4	13	34	32	2022.844	17.156
3	deep learning	"<table><tr><td>Author keyword:</td><td>deep learning</td></tr><tr><td>Records:</td><td>14</td></tr><tr><td>Example PaperIDs:</td><td>P041, P086, P118, P133, P147, P153, P160, P162</td></tr></table>"	-0.6658	-0.3186	3	6	15	14	2022.929	9.429
4	e-commerce	"<table><tr><td>Author keyword:</td><td>e-commerce</td></tr><tr><td>Records:</td><td>12</td></tr><tr><td>Example PaperIDs:</td><td>P054, P068, P189, P270, P290, P305, P369, P392</td></tr></table>"	-0.4974	0.5367	5	1	2	12	2022.5	14.333
5	data visualization	"<table><tr><td>Author keyword:</td><td>data visualization</td></tr><tr><td>Records:</td><td>11</td></tr><tr><td>Example PaperIDs:</td><td>P052, P128, P152, P211, P216, P229, P263, P363</td></tr></table>"	-0.6024	-0.243	10	3	7	11	2023.091	5.455
6	metaverse	"<table><tr><td>Author keyword:</td><td>metaverse</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P019, P087, P092, P097, P127, P231, P232, P233</td></tr></table>"	-0.5598	0.2246	6	4	17	9	2023.444	16.889
7	stock market	"<table><tr><td>Author keyword:</td><td>stock market</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P121, P148, P294, P297, P367, P374, P426, P427</td></tr></table>"	0.6352	0.6861	7	1	2	9	2023.111	4.667
8	fintech	"<table><tr><td>Author keyword:</td><td>fintech</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P030, P219, P228, P232, P248, P297, P359, P449</td></tr></table>"	-0.4003	-0.4387	2	4	8	8	2022.125	8.625
9	lstm	"<table><tr><td>Author keyword:</td><td>lstm</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P044, P045, P070, P288, P293, P297, P427, P429</td></tr></table>"	0.6355	0.6858	7	2	4	8	2022.75	4.125
10	security	"<table><tr><td>Author keyword:</td><td>security</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P007, P024, P036, P109, P214, P282, P314, P486</td></tr></table>"	-0.5013	0.5234	5	2	5	8	2020.75	18
11	sentiment analysis	"<table><tr><td>Author keyword:</td><td>sentiment analysis</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P074, P118, P215, P264, P430, P433, P441, P498</td></tr></table>"	-0.6506	-0.3001	9	3	6	8	2021.625	2
12	artificial intelligence	"<table><tr><td>Author keyword:</td><td>artificial intelligence</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P025, P081, P086, P293, P347, P409, P442</td></tr></table>"	-0.5688	-0.21	4	1	2	7	2022.143	15
13	big data	"<table><tr><td>Author keyword:</td><td>big data</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P230, P373, P385, P441, P451, P465, P505</td></tr></table>"	0.3688	-0.881	17	0	0	7	2020.286	3.714
14	data mining	"<table><tr><td>Author keyword:</td><td>data mining</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P035, P173, P216, P230, P250, P318, P396</td></tr></table>"	0.8072	-0.4685	8	1	2	7	2021	0.714
15	human-computer interaction	"<table><tr><td>Author keyword:</td><td>human-computer interaction</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P015, P096, P262, P298, P453, P480, P496</td></tr></table>"	0.9592	0.1894	18	0	0	7	2022.429	1.286
16	internet of things	"<table><tr><td>Author keyword:</td><td>internet of things</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P022, P028, P175, P192, P214, P393, P479</td></tr></table>"	-0.5609	0.3585	1	1	3	7	2021.286	7.286
17	nft	"<table><tr><td>Author keyword:</td><td>nft</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P008, P087, P097, P108, P231, P232, P233</td></tr></table>"	-0.5606	0.2027	6	3	13	7	2023.714	19
18	stock market prediction	"<table><tr><td>Author keyword:</td><td>stock market prediction</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P264, P342, P365, P384, P433, P440, P491</td></tr></table>"	-0.6326	-0.2787	9	3	7	7	2023.429	5.143
19	trading	"<table><tr><td>Author keyword:</td><td>trading</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P161, P213, P296, P419, P441, P485, P510</td></tr></table>"	0.6446	-0.7031	11	1	2	7	2022.429	3.143
20	visualization	"<table><tr><td>Author keyword:</td><td>visualization</td></tr><tr><td>Records:</td><td>7</td></tr><tr><td>Example PaperIDs:</td><td>P070, P073, P155, P162, P307, P430, P441</td></tr></table>"	-0.6523	-0.3021	9	1	2	7	2021.714	16
21	investment	"<table><tr><td>Author keyword:</td><td>investment</td></tr><tr><td>Records:</td><td>6</td></tr><tr><td>Example PaperIDs:</td><td>P050, P163, P274, P297, P441, P485</td></tr></table>"	0.6446	-0.7032	11	1	2	6	2022.333	4.167
