id	label	description	x	y	cluster	weight<Documents>	score<Avg publication year>	score<Avg citations>
1	China	<table><tr><td>Country:</td><td>China</td></tr><tr><td>Records:</td><td>131</td></tr><tr><td>Example PaperIDs:</td><td>P010, P013, P015, P016, P018, P023, P026, P027</td></tr></table>	1.0	0.0	1	131	2021.969	11.13
2	India	<table><tr><td>Country:</td><td>India</td></tr><tr><td>Records:</td><td>74</td></tr><tr><td>Example PaperIDs:</td><td>P007, P017, P024, P043, P045, P048, P050, P051</td></tr></table>	0.9839	0.1786	1	74	2023.541	4.243
3	United States	<table><tr><td>Country:</td><td>United States</td></tr><tr><td>Records:</td><td>65</td></tr><tr><td>Example PaperIDs:</td><td>P039, P043, P045, P056, P089, P090, P091, P092</td></tr></table>	0.9362	0.3514	1	65	2020.446	14.6
4	United Kingdom	<table><tr><td>Country:</td><td>United Kingdom</td></tr><tr><td>Records:</td><td>29</td></tr><tr><td>Example PaperIDs:</td><td>P035, P036, P131, P173, P180, P192, P208, P251</td></tr></table>	0.8584	0.5129	1	29	2019.172	14.241
5	South Korea	<table><tr><td>Country:</td><td>South Korea</td></tr><tr><td>Records:</td><td>25</td></tr><tr><td>Example PaperIDs:</td><td>P012, P019, P033, P063, P079, P087, P099, P107</td></tr></table>	0.7531	0.6579	1	25	2022.24	11.92
6	Australia	<table><tr><td>Country:</td><td>Australia</td></tr><tr><td>Records:</td><td>20</td></tr><tr><td>Example PaperIDs:</td><td>P009, P025, P116, P152, P167, P208, P209, P214</td></tr></table>	0.6235	0.7818	1	20	2020.4	35.35
7	Italy	<table><tr><td>Country:</td><td>Italy</td></tr><tr><td>Records:</td><td>15</td></tr><tr><td>Example PaperIDs:</td><td>P004, P040, P061, P108, P121, P155, P178, P207</td></tr></table>	0.4739	0.8806	1	15	2022.133	8.733
8	Taiwan	<table><tr><td>Country:</td><td>Taiwan</td></tr><tr><td>Records:</td><td>14</td></tr><tr><td>Example PaperIDs:</td><td>P068, P105, P136, P182, P190, P198, P220, P221</td></tr></table>	0.309	0.9511	1	14	2020.786	9.214
9	Germany	<table><tr><td>Country:</td><td>Germany</td></tr><tr><td>Records:</td><td>13</td></tr><tr><td>Example PaperIDs:</td><td>P082, P083, P088, P092, P096, P204, P228, P304</td></tr></table>	0.1342	0.9909	1	13	2020.769	5.769
10	Hong Kong	<table><tr><td>Country:</td><td>Hong Kong</td></tr><tr><td>Records:</td><td>13</td></tr><tr><td>Example PaperIDs:</td><td>P069, P115, P116, P130, P173, P234, P255, P272</td></tr></table>	-0.0449	0.999	1	13	2020.538	4.308
11	France	<table><tr><td>Country:</td><td>France</td></tr><tr><td>Records:</td><td>11</td></tr><tr><td>Example PaperIDs:</td><td>P011, P013, P057, P059, P066, P155, P205, P266</td></tr></table>	-0.2225	0.9749	1	11	2020.636	33.0
12	Brazil	<table><tr><td>Country:</td><td>Brazil</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P049, P188, P224, P360, P366, P424, P473, P499</td></tr></table>	-0.393	0.9195	1	9	2021.444	6.778
13	Japan	<table><tr><td>Country:</td><td>Japan</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P016, P043, P258, P260, P261, P298, P336, P359</td></tr></table>	-0.5509	0.8346	1	9	2020.889	4.111
14	Spain	<table><tr><td>Country:</td><td>Spain</td></tr><tr><td>Records:</td><td>9</td></tr><tr><td>Example PaperIDs:</td><td>P061, P064, P112, P134, P353, P356, P424, P444</td></tr></table>	-0.6911	0.7228	1	9	2021.778	5.889
15	Iran	<table><tr><td>Country:</td><td>Iran</td></tr><tr><td>Records:</td><td>8</td></tr><tr><td>Example PaperIDs:</td><td>P127, P146, P159, P293, P328, P403, P464, P478</td></tr></table>	-0.809	0.5878	1	8	2022.25	12.875
