label	occurrences	avg_publication_year	avg_citations
commerce	176	2021.028	9.807
electronic trading	136	2022.25	6.801
financial market	121	2022.57	4.802
investments	81	2022.815	5.802
decision making	52	2022.25	7.788
blockchain	47	2023.085	12.957
forecasting	41	2022.585	8.829
machine learning	40	2023.3	5.075
learning systems	39	2023.308	6.795
human-computer interaction	38	2021.579	10.237
e-commerce	37	2021.73	6.865
costs	36	2021.722	7.722
data visualization	32	2021.875	8.594
user experience	30	2022.767	4.233
information management	28	2022.429	6.214
artificial intelligence	26	2022.269	8.308
power markets	26	2022.115	25.115
trading platform	26	2022.423	1.731
visualization	26	2021.115	5.692
learning algorithms	24	2023.0	15.083
user interface	24	2022.375	3.083
data mining	23	2021.261	4.348
network security	22	2023.364	7.227
behavioral research	21	2022.952	7.143
deep learning	20	2022.75	9.5
decentralized finance	19	2024.789	1.421
economic and social effects	19	2021.211	5.789
finance	18	2018.611	13.667
sales	18	2022.222	7.444
information systems	17	2021.0	2.471
risk assessment	17	2020.882	7.706
marketplaces	16	2024.75	0.688
risk management	16	2020.812	17.375
human	15	2021.533	22.2
sentiment analysis	15	2021.733	3.533
users' experiences	15	2023.933	0.867
e-commerces	14	2023.429	0.929
economics	14	2018.143	21.857
optimization	14	2019.143	23.5
algorithmic trading	13	2022.846	7.615
big data	13	2019.846	8.769
automation	12	2020.917	13.083
digital storage	12	2021.417	15.583
information analysis	12	2021.0	9.833
information use	12	2021.167	3.167
internet of things	12	2022.333	17.583
performance	12	2023.667	4.083
time series	12	2022.083	5.0
time series analysis	12	2022.917	12.75
trading strategies	12	2021.5	1.25
carbon	11	2021.636	27.182
decisions makings	11	2023.818	4.0
language model	11	2024.455	0.545
long short-term memory	11	2023.182	2.818
multi agent systems	11	2020.818	3.273
social media	11	2022.091	11.364
social networking (online)	11	2021.455	9.182
stock market prediction	11	2022.273	5.545
trading systems	11	2022.0	3.455
autonomous agents	10	2018.9	13.8
computational methods	10	2018.8	4.5
decentralised	10	2024.0	1.8
intelligent agents	10	2021.9	12.1
international trade	10	2021.3	5.5
predictive analytics	10	2023.7	1.8
reinforcement learning	10	2023.1	14.3
security	10	2021.0	16.5
value engineering	10	2020.3	16.8
data analytics	9	2021.111	2.889
data handling	9	2020.333	1.222
distributed computer systems	9	2022.0	0.889
emission control	9	2019.778	41.333
energy	9	2024.0	2.111
energy trading	9	2022.444	9.333
financial trading	9	2019.778	10.778
genetic algorithms	9	2020.556	17.333
human engineering	9	2020.778	6.667
market research	9	2024.667	1.889
neural networks	9	2019.778	16.667
prediction models	9	2025.0	0.556
recommender systems	9	2019.778	3.889
smart contract	9	2023.778	11.222
software design	9	2018.222	9.778
stock predictions	9	2024.333	11.778
stock price	9	2023.333	2.111
stock price prediction	9	2023.222	13.222
websites	9	2021.778	0.556
agent-based model	8	2018.25	3.75
classification (of information)	8	2021.375	8.5
computation theory	8	2020.5	11.625
computer software	8	2022.375	8.5
consumer behavior	8	2022.75	7.125
electronic data interchange	8	2019.375	78.25
electronic money	8	2023.0	12.875
investment decisions	8	2022.875	2.875
large language model	8	2025.0	0.5
neural-networks	8	2023.25	2.25
profitability	8	2021.25	12.125
stochastic systems	8	2020.875	17.125
sustainable development	8	2021.5	6.375
