id	label	description	x	y	cluster	weight<Occurrences>	score<Avg publication year>	score<Avg citations>
1	commerce	<table><tr><td>Index keyword:</td><td>commerce</td></tr><tr><td>Records:</td><td>176</td></tr><tr><td>Example PaperIDs:</td><td>P011, P012, P019, P022, P025, P026, P032, P039</td></tr></table>	1.0	0.0	1	176	2021.028	9.807
2	electronic trading	<table><tr><td>Index keyword:</td><td>electronic trading</td></tr><tr><td>Records:</td><td>136</td></tr><tr><td>Example PaperIDs:</td><td>P011, P012, P023, P029, P030, P037, P041, P044</td></tr></table>	0.998	0.0628	1	136	2022.25	6.801
3	financial market	<table><tr><td>Index keyword:</td><td>financial market</td></tr><tr><td>Records:</td><td>121</td></tr><tr><td>Example PaperIDs:</td><td>P011, P021, P023, P025, P030, P032, P037, P048</td></tr></table>	0.9921	0.1253	1	121	2022.57	4.802
4	investments	<table><tr><td>Index keyword:</td><td>investments</td></tr><tr><td>Records:</td><td>81</td></tr><tr><td>Example PaperIDs:</td><td>P012, P021, P034, P044, P050, P051, P052, P057</td></tr></table>	0.9823	0.1874	1	81	2022.815	5.802
5	decision making	<table><tr><td>Index keyword:</td><td>decision making</td></tr><tr><td>Records:</td><td>52</td></tr><tr><td>Example PaperIDs:</td><td>P013, P018, P021, P034, P044, P052, P059, P081</td></tr></table>	0.9686	0.2487	1	52	2022.25	7.788
6	blockchain	<table><tr><td>Index keyword:</td><td>blockchain</td></tr><tr><td>Records:</td><td>47</td></tr><tr><td>Example PaperIDs:</td><td>P007, P008, P019, P022, P026, P084, P092, P094</td></tr></table>	0.9511	0.309	1	47	2023.085	12.957
7	forecasting	<table><tr><td>Index keyword:</td><td>forecasting</td></tr><tr><td>Records:</td><td>41</td></tr><tr><td>Example PaperIDs:</td><td>P013, P037, P041, P048, P077, P080, P118, P144</td></tr></table>	0.9298	0.3681	1	41	2022.585	8.829
8	machine learning	<table><tr><td>Index keyword:</td><td>machine learning</td></tr><tr><td>Records:</td><td>40</td></tr><tr><td>Example PaperIDs:</td><td>P025, P030, P043, P048, P050, P081, P084, P106</td></tr></table>	0.9048	0.4258	1	40	2023.3	5.075
9	learning systems	<table><tr><td>Index keyword:</td><td>learning systems</td></tr><tr><td>Records:</td><td>39</td></tr><tr><td>Example PaperIDs:</td><td>P017, P018, P041, P048, P060, P077, P106, P133</td></tr></table>	0.8763	0.4818	1	39	2023.308	6.795
10	human-computer interaction	<table><tr><td>Index keyword:</td><td>human-computer interaction</td></tr><tr><td>Records:</td><td>38</td></tr><tr><td>Example PaperIDs:</td><td>P015, P049, P077, P089, P110, P121, P162, P208</td></tr></table>	0.8443	0.5358	1	38	2021.579	10.237
11	e-commerce	<table><tr><td>Index keyword:</td><td>e-commerce</td></tr><tr><td>Records:</td><td>37</td></tr><tr><td>Example PaperIDs:</td><td>P010, P029, P035, P054, P071, P089, P149, P172</td></tr></table>	0.809	0.5878	1	37	2021.73	6.865
12	costs	<table><tr><td>Index keyword:</td><td>costs</td></tr><tr><td>Records:</td><td>36</td></tr><tr><td>Example PaperIDs:</td><td>P011, P026, P072, P150, P156, P162, P164, P195</td></tr></table>	0.7705	0.6374	1	36	2021.722	7.722
13	data visualization	<table><tr><td>Index keyword:</td><td>data visualization</td></tr><tr><td>Records:</td><td>32</td></tr><tr><td>Example PaperIDs:</td><td>P028, P032, P052, P098, P125, P126, P128, P152</td></tr></table>	0.729	0.6845	1	32	2021.875	8.594
14	user experience	<table><tr><td>Index keyword:</td><td>user experience</td></tr><tr><td>Records:</td><td>30</td></tr><tr><td>Example PaperIDs:</td><td>P035, P041, P044, P060, P064, P074, P080, P084</td></tr></table>	0.6845	0.729	1	30	2022.767	4.233
15	information management	<table><tr><td>Index keyword:</td><td>information management</td></tr><tr><td>Records:</td><td>28</td></tr><tr><td>Example PaperIDs:</td><td>P018, P019, P024, P048, P090, P098, P109, P135</td></tr></table>	0.6374	0.7705	1	28	2022.429	6.214
16	artificial intelligence	<table><tr><td>Index keyword:</td><td>artificial intelligence</td></tr><tr><td>Records:</td><td>26</td></tr><tr><td>Example PaperIDs:</td><td>P037, P044, P066, P084, P102, P149, P180, P186</td></tr></table>	0.5878	0.809	1	26	2022.269	8.308
17	power markets	<table><tr><td>Index keyword:</td><td>power markets</td></tr><tr><td>Records:</td><td>26</td></tr><tr><td>Example PaperIDs:</td><td>P009, P028, P031, P035, P127, P153, P154, P188</td></tr></table>	0.5358	0.8443	1	26	2022.115	25.115
18	trading platform	<table><tr><td>Index keyword:</td><td>trading platform</td></tr><tr><td>Records:</td><td>26</td></tr><tr><td>Example PaperIDs:</td><td>P021, P022, P026, P031, P071, P093, P140, P156</td></tr></table>	0.4818	0.8763	1	26	2022.423	1.731
19	visualization	<table><tr><td>Index keyword:</td><td>visualization</td></tr><tr><td>Records:</td><td>26</td></tr><tr><td>Example PaperIDs:</td><td>P004, P025, P028, P052, P126, P128, P152, P162</td></tr></table>	0.4258	0.9048	1	26	2021.115	5.692
20	learning algorithms	<table><tr><td>Index keyword:</td><td>learning algorithms</td></tr><tr><td>Records:</td><td>24</td></tr><tr><td>Example PaperIDs:</td><td>P018, P077, P081, P162, P164, P180, P219, P239</td></tr></table>	0.3681	0.9298	1	24	2023.0	15.083
21	user interface	<table><tr><td>Index keyword:</td><td>user interface</td></tr><tr><td>Records:</td><td>24</td></tr><tr><td>Example PaperIDs:</td><td>P037, P044, P054, P067, P074, P101, P106, P128</td></tr></table>	0.309	0.9511	1	24	2022.375	3.083
22	data mining	<table><tr><td>Index keyword:</td><td>data mining</td></tr><tr><td>Records:</td><td>23</td></tr><tr><td>Example PaperIDs:</td><td>P032, P035, P069, P074, P097, P173, P177, P250</td></tr></table>	0.2487	0.9686	1	23	2021.261	4.348
23	network security	<table><tr><td>Index keyword:</td><td>network security</td></tr><tr><td>Records:</td><td>22</td></tr><tr><td>Example PaperIDs:</td><td>P007, P010, P024, P109, P138, P146, P170, P172</td></tr></table>	0.1874	0.9823	1	22	2023.364	7.227
24	behavioral research	<table><tr><td>Index keyword:</td><td>behavioral research</td></tr><tr><td>Records:</td><td>21</td></tr><tr><td>Example PaperIDs:</td><td>P041, P080, P121, P124, P132, P144, P159, P163</td></tr></table>	0.1253	0.9921	1	21	2022.952	7.143
25	deep learning	<table><tr><td>Index keyword:</td><td>deep learning</td></tr><tr><td>Records:</td><td>20</td></tr><tr><td>Example PaperIDs:</td><td>P041, P052, P118, P132, P133, P138, P147, P153</td></tr></table>	0.0628	0.998	1	20	2022.75	9.5
26	decentralized finance	<table><tr><td>Index keyword:</td><td>decentralized finance</td></tr><tr><td>Records:</td><td>19</td></tr><tr><td>Example PaperIDs:</td><td>P044, P052, P090, P093, P103, P106, P144, P155</td></tr></table>	0.0	1.0	1	19	2024.789	1.421
27	economic and social effects	<table><tr><td>Index keyword:</td><td>economic and social effects</td></tr><tr><td>Records:</td><td>19</td></tr><tr><td>Example PaperIDs:</td><td>P052, P082, P090, P137, P140, P141, P190, P205</td></tr></table>	-0.0628	0.998	1	19	2021.211	5.789
28	finance	<table><tr><td>Index keyword:</td><td>finance</td></tr><tr><td>Records:</td><td>18</td></tr><tr><td>Example PaperIDs:</td><td>P018, P059, P067, P098, P121, P232, P265, P293</td></tr></table>	-0.1253	0.9921	1	18	2018.611	13.667
29	sales	<table><tr><td>Index keyword:</td><td>sales</td></tr><tr><td>Records:</td><td>18</td></tr><tr><td>Example PaperIDs:</td><td>P051, P080, P101, P105, P110, P115, P150, P172</td></tr></table>	-0.1874	0.9823	1	18	2022.222	7.444
30	information systems	<table><tr><td>Index keyword:</td><td>information systems</td></tr><tr><td>Records:</td><td>17</td></tr><tr><td>Example PaperIDs:</td><td>P004, P024, P028, P074, P101, P140, P152, P155</td></tr></table>	-0.2487	0.9686	1	17	2021.0	2.471
31	risk assessment	<table><tr><td>Index keyword:</td><td>risk assessment</td></tr><tr><td>Records:</td><td>17</td></tr><tr><td>Example PaperIDs:</td><td>P034, P040, P050, P088, P134, P145, P154, P164</td></tr></table>	-0.309	0.9511	1	17	2020.882	7.706
32	marketplaces	<table><tr><td>Index keyword:</td><td>marketplaces</td></tr><tr><td>Records:</td><td>16</td></tr><tr><td>Example PaperIDs:</td><td>P008, P021, P073, P093, P094, P101, P147, P149</td></tr></table>	-0.3681	0.9298	1	16	2024.75	0.688
33	risk management	<table><tr><td>Index keyword:</td><td>risk management</td></tr><tr><td>Records:</td><td>16</td></tr><tr><td>Example PaperIDs:</td><td>P052, P098, P106, P110, P134, P224, P323, P334</td></tr></table>	-0.4258	0.9048	1	16	2020.812	17.375
34	human	<table><tr><td>Index keyword:</td><td>human</td></tr><tr><td>Records:</td><td>15</td></tr><tr><td>Example PaperIDs:</td><td>P013, P194, P234, P265, P271, P304, P309, P320</td></tr></table>	-0.4818	0.8763	1	15	2021.533	22.2
35	sentiment analysis	<table><tr><td>Index keyword:</td><td>sentiment analysis</td></tr><tr><td>Records:</td><td>15</td></tr><tr><td>Example PaperIDs:</td><td>P035, P074, P118, P145, P210, P221, P264, P347</td></tr></table>	-0.5358	0.8443	1	15	2021.733	3.533
36	users' experiences	<table><tr><td>Index keyword:</td><td>users' experiences</td></tr><tr><td>Records:</td><td>15</td></tr><tr><td>Example PaperIDs:</td><td>P021, P060, P074, P084, P109, P132, P138, P140</td></tr></table>	-0.5878	0.809	1	15	2023.933	0.867
37	e-commerces	<table><tr><td>Index keyword:</td><td>e-commerces</td></tr><tr><td>Records:</td><td>14</td></tr><tr><td>Example PaperIDs:</td><td>P071, P101, P149, P172, P186, P290, P298, P305</td></tr></table>	-0.6374	0.7705	1	14	2023.429	0.929
38	economics	<table><tr><td>Index keyword:</td><td>economics</td></tr><tr><td>Records:</td><td>14</td></tr><tr><td>Example PaperIDs:</td><td>P059, P252, P256, P322, P329, P343, P378, P399</td></tr></table>	-0.6845	0.729	1	14	2018.143	21.857
39	optimization	<table><tr><td>Index keyword:</td><td>optimization</td></tr><tr><td>Records:</td><td>14</td></tr><tr><td>Example PaperIDs:</td><td>P027, P037, P082, P115, P137, P173, P203, P252</td></tr></table>	-0.729	0.6845	1	14	2019.143	23.5
40	algorithmic trading	<table><tr><td>Index keyword:</td><td>algorithmic trading</td></tr><tr><td>Records:</td><td>13</td></tr><tr><td>Example PaperIDs:</td><td>P050, P051, P052, P084, P098, P110, P145, P161</td></tr></table>	-0.7705	0.6374	1	13	2022.846	7.615
41	big data	<table><tr><td>Index keyword:</td><td>big data</td></tr><tr><td>Records:</td><td>13</td></tr><tr><td>Example PaperIDs:</td><td>P098, P125, P198, P297, P392, P397, P400, P414</td></tr></table>	-0.809	0.5878	1	13	2019.846	8.769
